"data";"valor"
"01/01/1995";"49"
"01/02/1995";"85"
"01/03/1995";"182"
"01/04/1995";"255"
"01/05/1995";"352"
"01/06/1995";"411"
"01/07/1995";"457"
"01/08/1995";"509"
"01/09/1995";"559"
"01/10/1995";"611"
"01/11/1995";"667"
"01/12/1995";"731"
"01/01/1996";"43"
"01/02/1996";"77"
"01/03/1996";"165"
"01/04/1996";"211"
"01/05/1996";"260"
"01/06/1996";"359"
"01/07/1996";"451"
"01/08/1996";"523"
"01/09/1996";"582"
"01/10/1996";"625"
"01/11/1996";"678"
"01/12/1996";"730"
"01/01/1997";"33"
"01/02/1997";"94"
"01/03/1997";"173"
"01/04/1997";"281"
"01/05/1997";"411"
"01/06/1997";"590"
"01/07/1997";"726"
"01/08/1997";"770"
"01/09/1997";"993"
"01/10/1997";"1119"
"01/11/1997";"1249"
"01/12/1997";"1391"
"01/01/1998";"59"
"01/02/1998";"203"
"01/03/1998";"342"
"01/04/1998";"415"
"01/05/1998";"490"
"01/06/1998";"563"
"01/07/1998";"672"
"01/08/1998";"740"
"01/09/1998";"905"
"01/10/1998";"1011"
"01/11/1998";"1204"
"01/12/1998";"1349"
"01/01/1999";"89"
"01/02/1999";"160"
"01/03/1999";"297"
"01/04/1999";"389"
"01/05/1999";"496"
"01/06/1999";"599"
"01/07/1999";"731"
"01/08/1999";"850"
"01/09/1999";"943"
"01/10/1999";"1042"
"01/11/1999";"1151"
"01/12/1999";"1286"
"01/01/2000";"104"
"01/02/2000";"193"
"01/03/2000";"293"
"01/04/2000";"406"
"01/05/2000";"568"
"01/06/2000";"744"
"01/07/2000";"927"
"01/08/2000";"1118"
"01/09/2000";"1305"
"01/10/2000";"1502"
"01/11/2000";"1596"
"01/12/2000";"1908"
"01/01/2001";"188"
"01/02/2001";"321"
"01/03/2001";"519"
"01/04/2001";"696"
"01/05/2001";"895"
"01/06/2001";"1158"
"01/07/2001";"1439"
"01/08/2001";"1641"
"01/09/2001";"1906"
"01/10/2001";"2168"
"01/11/2001";"2454"
"01/12/2001";"2762"
"01/01/2002";"249"
"01/02/2002";"501"
"01/03/2002";"822"
"01/04/2002";"1071"
"01/05/2002";"1367"
"01/06/2002";"1660"
"01/07/2002";"2099"
"01/08/2002";"2460"
"01/09/2002";"2842"
"01/10/2002";"3434"
"01/11/2002";"3561"
"01/12/2002";"4509"
"01/01/2003";"154"
"01/02/2003";"310"
"01/03/2003";"561"
"01/04/2003";"813"
"01/05/2003";"1127"
"01/06/2003";"1582"
"01/07/2003";"2267"
"01/08/2003";"2611"
"01/09/2003";"3021"
"01/10/2003";"3638"
"01/11/2003";"4145"
"01/12/2003";"4595"
"01/01/2004";"600"
"01/02/2004";"1092"
"01/03/2004";"1570"
"01/04/2004";"2097"
"01/05/2004";"2508"
"01/06/2004";"3195"
"01/07/2004";"3911"
"01/08/2004";"4340"
"01/09/2004";"5034"
"01/10/2004";"5652"
"01/11/2004";"6349"
"01/12/2004";"6930"
"01/01/2005";"499"
"01/02/2005";"837"
"01/03/2005";"1216"
"01/04/2005";"1544"
"01/05/2005";"1750"
"01/06/2005";"2220"
"01/07/2005";"2594"
"01/08/2005";"2750"
"01/09/2005";"2962"
"01/10/2005";"3222"
"01/11/2005";"3568"
"01/12/2005";"4059"
"01/01/2006";"397"
"01/02/2006";"670"
"01/03/2006";"1030"
"01/04/2006";"1225"
"01/05/2006";"1514"
"01/06/2006";"1760"
"01/07/2006";"2019"
"01/08/2006";"2139"
"01/09/2006";"2324"
"01/10/2006";"2609"
"01/11/2006";"2942"
"01/12/2006";"3423"
"01/01/2007";"397"
"01/02/2007";"634"
"01/03/2007";"1105"
"01/04/2007";"1493"
"01/05/2007";"1979"
"01/06/2007";"2453"
"01/07/2007";"2998"
"01/08/2007";"3215"
"01/09/2007";"3461"
"01/10/2007";"3985"
"01/11/2007";"4432"
"01/12/2007";"4998"
"01/01/2008";"432"
"01/02/2008";"771"
"01/03/2008";"1267"
"01/04/2008";"1764"
"01/05/2008";"2260"
"01/06/2008";"2841"
"01/07/2008";"3406"
"01/08/2008";"3640"
"01/09/2008";"3874"
"01/10/2008";"4329"
"01/11/2008";"5063"
"01/12/2008";"5594"
"01/01/2009";"403"
"01/02/2009";"687"
"01/03/2009";"1148"
"01/04/2009";"1729"
"01/05/2009";"2382"
"01/06/2009";"3133"
"01/07/2009";"3723"
"01/08/2009";"4190"
"01/09/2009";"4826"
"01/10/2009";"5393"
"01/11/2009";"6112"
"01/12/2009";"6856"
"01/01/2010";"940"
"01/02/2010";"1686"
"01/03/2010";"2642"
"01/04/2010";"3460"
"01/05/2010";"4196"
"01/06/2010";"4988"
"01/07/2010";"5667"
"01/08/2010";"6423"
"01/09/2010";"7150"
"01/10/2010";"8110"
"01/11/2010";"9059"
"01/12/2010";"10126"
"01/01/2011";"850"
"01/02/2011";"1508"
"01/03/2011";"2118"
"01/04/2011";"2814"
"01/05/2011";"3579"
"01/06/2011";"4906"
"01/07/2011";"5686"
"01/08/2011";"6452"
"01/09/2011";"7224"
"01/10/2011";"7983"
"01/11/2011";"8798"
"01/12/2011";"9759"
"01/01/2012";"870"
"01/02/2012";"1494"
"01/03/2012";"2216"
"01/04/2012";"3007"
"01/05/2012";"3753"
"01/06/2012";"4432"
"01/07/2012";"5350"
"01/08/2012";"6401"
"01/09/2012";"7431"
"01/10/2012";"8528"
"01/11/2012";"9896"
"01/12/2012";"11362"
"01/01/2013";"1540"
"01/02/2013";"3056"
"01/03/2013";"4781"
"01/04/2013";"6640"
"01/05/2013";"8285"
"01/06/2013";"9627"
"01/07/2013";"10896"
"01/08/2013";"12060"
"01/09/2013";"13334"
"01/10/2013";"14806"
"01/11/2013";"16462"
"01/12/2013";"18662"
"01/01/2014";"2153"
"01/02/2014";"3162"
"01/03/2014";"4093"
"01/04/2014";"5157"
"01/05/2014";"6274"
"01/06/2014";"7520"
"01/07/2014";"8855"
"01/08/2014";"10391"
"01/09/2014";"11989"
"01/10/2014";"13590"
"01/11/2014";"14886"
"01/12/2014";"16775"
"01/01/2015";"1405"
"01/02/2015";"2335"
"01/03/2015";"3554"
"01/04/2015";"4555"
"01/05/2015";"5797"
"01/06/2015";"7416"
"01/07/2015";"8308"
"01/08/2015";"9218"
"01/09/2015";"10281"
"01/10/2015";"11457"
"01/11/2015";"12713"
"01/12/2015";"13710"
"01/01/2016";"1123"
"01/02/2016";"2100"
"01/03/2016";"3149"
"01/04/2016";"4336"
"01/05/2016";"5481"
"01/06/2016";"6651"
"01/07/2016";"7668"
"01/08/2016";"8488"
"01/09/2016";"9527"
"01/10/2016";"10791"
"01/11/2016";"12171"
"01/12/2016";"13898"
"01/01/2017";"1281"
"01/02/2017";"2340"
"01/03/2017";"3345"
"01/04/2017";"4296"
"01/05/2017";"5504"
"01/06/2017";"6887"
"01/07/2017";"8129"
"01/08/2017";"9269"
"01/09/2017";"10392"
"01/10/2017";"11741"
"01/11/2017";"13094"
"01/12/2017";"14375"
"01/01/2018";"936"
"01/02/2018";"1652"
"01/03/2018";"2718"
"01/04/2018";"3669"
"01/05/2018";"4727"
"01/06/2018";"5764"
"01/07/2018";"6722"
"01/08/2018";"7986"
"01/09/2018";"9384"
"01/10/2018";"11453"
"01/11/2018";"13132"
"01/12/2018";"14660"
"01/01/2019";"1402"
"01/02/2019";"2510"
"01/03/2019";"3539"
"01/04/2019";"4597"
"01/05/2019";"5710"
"01/06/2019";"6357"
"01/07/2019";"7188"
"01/08/2019";"8517"
"01/09/2019";"10198"
"01/10/2019";"12316"
"01/11/2019";"14464"
"01/12/2019";"15870"
"01/01/2020";"1091"
"01/02/2020";"1935"
"01/03/2020";"3004"
"01/04/2020";"3705"
"01/05/2020";"4505"
"01/06/2020";"5211"
"01/07/2020";"6158"
"01/08/2020";"8050"
"01/09/2020";"10391"
"01/10/2020";"12924"
"01/11/2020";"14937"
"01/12/2020";"16620"
"01/01/2021";"1028"
"01/02/2021";"1786"
"01/03/2021";"2653"
"01/04/2021";"3296"
"01/05/2021";"3997"
"01/06/2021";"4633"
"01/07/2021";"6261"
"01/08/2021";"8765"
"01/09/2021";"10976"
"01/10/2021";"13259"
"01/11/2021";"15063"
"01/12/2021";"16721"
"01/01/2022";"1066"
"01/02/2022";"1961"
"01/03/2022";"2754"
"01/04/2022";"3394"
"01/05/2022";"3887"
"01/06/2022";"4532"
"01/07/2022";"5654"
"01/08/2022";"10745"
"01/09/2022";"14831"
