"data";"valor"
"01/01/1995";"202"
"01/02/1995";"280"
"01/03/1995";"408"
"01/04/1995";"522"
"01/05/1995";"707"
"01/06/1995";"864"
"01/07/1995";"1013"
"01/08/1995";"1146"
"01/09/1995";"1334"
"01/10/1995";"1532"
"01/11/1995";"1686"
"01/12/1995";"2294"
"01/01/1996";"346"
"01/02/1996";"641"
"01/03/1996";"832"
"01/04/1996";"961"
"01/05/1996";"1871"
"01/06/1996";"1993"
"01/07/1996";"2353"
"01/08/1996";"2838"
"01/09/1996";"3301"
"01/10/1996";"3613"
"01/11/1996";"3993"
"01/12/1996";"4833"
"01/01/1997";"430"
"01/02/1997";"610"
"01/03/1997";"1023"
"01/04/1997";"1404"
"01/05/1997";"1685"
"01/06/1997";"2723"
"01/07/1997";"3047"
"01/08/1997";"3877"
"01/09/1997";"5276"
"01/10/1997";"6082"
"01/11/1997";"7867"
"01/12/1997";"9710"
"01/01/1998";"468"
"01/02/1998";"1198"
"01/03/1998";"1643"
"01/04/1998";"3323"
"01/05/1998";"3809"
"01/06/1998";"5021"
"01/07/1998";"6099"
"01/08/1998";"7207"
"01/09/1998";"8168"
"01/10/1998";"8883"
"01/11/1998";"9421"
"01/12/1998";"10080"
"01/01/1999";"256"
"01/02/1999";"532"
"01/03/1999";"1333"
"01/04/1999";"1696"
"01/05/1999";"2063"
"01/06/1999";"2651"
"01/07/1999";"3003"
"01/08/1999";"3668"
"01/09/1999";"4208"
"01/10/1999";"4965"
"01/11/1999";"6144"
"01/12/1999";"8341"
"01/01/2000";"427"
"01/02/2000";"776"
"01/03/2000";"1215"
"01/04/2000";"1573"
"01/05/2000";"1944"
"01/06/2000";"2356"
"01/07/2000";"4336"
"01/08/2000";"4867"
"01/09/2000";"5339"
"01/10/2000";"5886"
"01/11/2000";"8253"
"01/12/2000";"10734"
"01/01/2001";"301"
"01/02/2001";"535"
"01/03/2001";"1032"
"01/04/2001";"1379"
"01/05/2001";"1810"
"01/06/2001";"2970"
"01/07/2001";"3300"
"01/08/2001";"5151"
"01/09/2001";"5874"
"01/10/2001";"6653"
"01/11/2001";"7779"
"01/12/2001";"9298"
"01/01/2002";"509"
"01/02/2002";"2046"
"01/03/2002";"2791"
"01/04/2002";"3379"
"01/05/2002";"4030"
"01/06/2002";"4426"
"01/07/2002";"5457"
"01/08/2002";"8277"
"01/09/2002";"9927"
"01/10/2002";"11426"
"01/11/2002";"13102"
"01/12/2002";"15482"
"01/01/2003";"400"
"01/02/2003";"1670"
"01/03/2003";"2396"
"01/04/2003";"2934"
"01/05/2003";"3709"
"01/06/2003";"4777"
"01/07/2003";"6660"
"01/08/2003";"7365"
"01/09/2003";"8274"
"01/10/2003";"9472"
"01/11/2003";"10789"
"01/12/2003";"12844"
"01/01/2004";"520"
"01/02/2004";"1533"
"01/03/2004";"2598"
"01/04/2004";"4474"
"01/05/2004";"5344"
"01/06/2004";"7318"
"01/07/2004";"8653"
"01/08/2004";"10893"
"01/09/2004";"12955"
"01/10/2004";"14769"
"01/11/2004";"15878"
"01/12/2004";"17135"
"01/01/2005";"1196"
"01/02/2005";"2349"
"01/03/2005";"3423"
"01/04/2005";"4472"
"01/05/2005";"5908"
"01/06/2005";"7381"
"01/07/2005";"10266"
"01/08/2005";"12284"
"01/09/2005";"13272"
"01/10/2005";"14702"
"01/11/2005";"16403"
"01/12/2005";"19551"
"01/01/2006";"1446"
"01/02/2006";"2288"
"01/03/2006";"3295"
"01/04/2006";"4595"
"01/05/2006";"5855"
"01/06/2006";"7758"
"01/07/2006";"9331"
"01/08/2006";"11022"
"01/09/2006";"12401"
"01/10/2006";"13982"
"01/11/2006";"17533"
"01/12/2006";"20775"
"01/01/2007";"1506"
"01/02/2007";"2517"
"01/03/2007";"4669"
"01/04/2007";"6297"
"01/05/2007";"8309"
"01/06/2007";"10977"
"01/07/2007";"13553"
"01/08/2007";"16517"
"01/09/2007";"19903"
"01/10/2007";"24937"
"01/11/2007";"28515"
"01/12/2007";"33448"
"01/01/2008";"1861"
"01/02/2008";"3814"
"01/03/2008";"7519"
"01/04/2008";"11751"
"01/05/2008";"15787"
"01/06/2008";"18969"
"01/07/2008";"22723"
"01/08/2008";"27099"
"01/09/2008";"31370"
"01/10/2008";"36871"
"01/11/2008";"41113"
"01/12/2008";"46262"
"01/01/2009";"1959"
"01/02/2009";"4187"
"01/03/2009";"8873"
"01/04/2009";"13085"
"01/05/2009";"16859"
"01/06/2009";"21494"
"01/07/2009";"31306"
"01/08/2009";"36499"
"01/09/2009";"42167"
"01/10/2009";"48522"
"01/11/2009";"54227"
"01/12/2009";"65979"
"01/01/2010";"4672"
