"data";"valor"
"01/01/1995";"175"
"01/02/1995";"407"
"01/03/1995";"725"
"01/04/1995";"952"
"01/05/1995";"1336"
"01/06/1995";"1664"
"01/07/1995";"1956"
"01/08/1995";"2252"
"01/09/1995";"2544"
"01/10/1995";"2950"
"01/11/1995";"3385"
"01/12/1995";"4001"
"01/01/1996";"196"
"01/02/1996";"582"
"01/03/1996";"1017"
"01/04/1996";"1296"
"01/05/1996";"1655"
"01/06/1996";"2046"
"01/07/1996";"2368"
"01/08/1996";"2700"
"01/09/1996";"3071"
"01/10/1996";"3319"
"01/11/1996";"3610"
"01/12/1996";"4242"
"01/01/1997";"317"
"01/02/1997";"547"
"01/03/1997";"760"
"01/04/1997";"1116"
"01/05/1997";"1429"
"01/06/1997";"1884"
"01/07/1997";"2795"
"01/08/1997";"3306"
"01/09/1997";"3841"
"01/10/1997";"4511"
"01/11/1997";"5130"
"01/12/1997";"6041"
"01/01/1998";"481"
"01/02/1998";"962"
"01/03/1998";"1622"
"01/04/1998";"2077"
"01/05/1998";"2636"
"01/06/1998";"3276"
"01/07/1998";"3827"
"01/08/1998";"4687"
"01/09/1998";"5520"
"01/10/1998";"5988"
"01/11/1998";"6741"
"01/12/1998";"7281"
"01/01/1999";"425"
"01/02/1999";"1122"
"01/03/1999";"1809"
"01/04/1999";"2386"
"01/05/1999";"2939"
"01/06/1999";"3876"
"01/07/1999";"4436"
"01/08/1999";"5121"
"01/09/1999";"5703"
"01/10/1999";"6451"
"01/11/1999";"7083"
"01/12/1999";"8166"
"01/01/2000";"383"
"01/02/2000";"989"
"01/03/2000";"1924"
"01/04/2000";"2314"
"01/05/2000";"2859"
"01/06/2000";"3571"
"01/07/2000";"4247"
"01/08/2000";"4882"
"01/09/2000";"5507"
"01/10/2000";"7411"
"01/11/2000";"8999"
"01/12/2000";"10283"
"01/01/2001";"945"
"01/02/2001";"1758"
"01/03/2001";"3754"
"01/04/2001";"4505"
"01/05/2001";"5464"
"01/06/2001";"6364"
"01/07/2001";"7011"
"01/08/2001";"8350"
"01/09/2001";"9065"
