"data";"valor"
"01/01/1995";"429"
"01/02/1995";"778"
"01/03/1995";"1323"
"01/04/1995";"1752"
"01/05/1995";"2422"
"01/06/1995";"2974"
"01/07/1995";"3464"
"01/08/1995";"3949"
"01/09/1995";"4481"
"01/10/1995";"5144"
"01/11/1995";"5791"
"01/12/1995";"7098"
"01/01/1996";"595"
"01/02/1996";"1313"
"01/03/1996";"2035"
"01/04/1996";"2542"
"01/05/1996";"3866"
"01/06/1996";"4486"
"01/07/1996";"5279"
"01/08/1996";"6169"
"01/09/1996";"7078"
"01/10/1996";"7686"
"01/11/1996";"8425"
"01/12/1996";"9951"
"01/01/1997";"797"
"01/02/1997";"1277"
"01/03/1997";"1988"
"01/04/1997";"2843"
"01/05/1997";"4231"
"01/06/1997";"5918"
"01/07/1997";"7295"
"01/08/1997";"8683"
"01/09/1997";"10847"
"01/10/1997";"12451"
"01/11/1997";"14988"
"01/12/1997";"17894"
"01/01/1998";"1011"
"01/02/1998";"2367"
"01/03/1998";"3615"
"01/04/1998";"5833"
"01/05/1998";"6954"
"01/06/1998";"8882"
"01/07/1998";"10629"
"01/08/1998";"12671"
"01/09/1998";"14632"
"01/10/1998";"15925"
"01/11/1998";"17409"
"01/12/1998";"18991"
"01/01/1999";"832"
"01/02/1999";"1878"
"01/03/1999";"3503"
"01/04/1999";"4537"
"01/05/1999";"5565"
"01/06/1999";"7203"
"01/07/1999";"8282"
"01/08/1999";"9789"
"01/09/1999";"11030"
"01/10/1999";"12637"
"01/11/1999";"14558"
"01/12/1999";"18052"
"01/01/2000";"916"
"01/02/2000";"1962"
"01/03/2000";"3441"
"01/04/2000";"4304"
"01/05/2000";"5384"
"01/06/2000";"6688"
"01/07/2000";"9528"
"01/08/2000";"10923"
"01/09/2000";"12210"
"01/10/2000";"14895"
"01/11/2000";"18950"
"01/12/2000";"23046"
"01/01/2001";"1439"
"01/02/2001";"2627"
"01/03/2001";"5323"
"01/04/2001";"6600"
"01/05/2001";"8192"
"01/06/2001";"10518"
"01/07/2001";"11799"
"01/08/2001";"15196"
"01/09/2001";"16904"
"01/10/2001";"19221"
"01/11/2001";"21845"
"01/12/2001";"25217"
"01/01/2002";"1802"
"01/02/2002";"4361"
"01/03/2002";"6068"
"01/04/2002";"7717"
"01/05/2002";"10370"
"01/06/2002";"13223"
"01/07/2002";"16101"
"01/08/2002";"20920"
"01/09/2002";"24632"
"01/10/2002";"29002"
"01/11/2002";"32323"
"01/12/2002";"37419"
"01/01/2003";"1803"
"01/02/2003";"3844"
"01/03/2003";"5508"
"01/04/2003";"6945"
"01/05/2003";"8753"
"01/06/2003";"12212"
"01/07/2003";"15385"
"01/08/2003";"16972"
"01/09/2003";"18970"
"01/10/2003";"22212"
"01/11/2003";"28556"
"01/12/2003";"33534"
"01/01/2004";"2237"
"01/02/2004";"5215"
"01/03/2004";"8508"
"01/04/2004";"12124"
"01/05/2004";"13912"
"01/06/2004";"18008"
"01/07/2004";"20978"
"01/08/2004";"24287"
"01/09/2004";"27744"
"01/10/2004";"31727"
"01/11/2004";"35283"
"01/12/2004";"39834"
"01/01/2005";"3795"
"01/02/2005";"6257"
"01/03/2005";"9463"
"01/04/2005";"12040"
"01/05/2005";"15092"
"01/06/2005";"19973"
"01/07/2005";"24553"
"01/08/2005";"28740"
"01/09/2005";"31146"
"01/10/2005";"33786"
"01/11/2005";"39778"
"01/12/2005";"46980"
"01/01/2006";"2488"
"01/02/2006";"4275"
"01/03/2006";"6772"
"01/04/2006";"10625"
"01/05/2006";"13636"
"01/06/2006";"18250"
"01/07/2006";"22611"
"01/08/2006";"27339"
"01/09/2006";"31174"
"01/10/2006";"34958"
"01/11/2006";"41482"
"01/12/2006";"51318"
"01/01/2007";"4681"
"01/02/2007";"7020"
"01/03/2007";"11271"
"01/04/2007";"14844"
"01/05/2007";"19057"
"01/06/2007";"24709"
"01/07/2007";"31240"
"01/08/2007";"36970"
"01/09/2007";"41800"
"01/10/2007";"49818"
"01/11/2007";"56635"
"01/12/2007";"64892"
"01/01/2008";"4395"
"01/02/2008";"8760"
"01/03/2008";"16359"
"01/04/2008";"25827"
"01/05/2008";"32315"
"01/06/2008";"37881"
"01/07/2008";"44574"
"01/08/2008";"51859"
"01/09/2008";"59987"
"01/10/2008";"70129"
"01/11/2008";"78546"
"01/12/2008";"90878"
"01/01/2009";"4438"
"01/02/2009";"9474"
"01/03/2009";"17893"
"01/04/2009";"25605"
"01/05/2009";"31643"
"01/06/2009";"41880"
"01/07/2009";"74052"
"01/08/2009";"83142"
"01/09/2009";"95801"
"01/10/2009";"106486"
"01/11/2009";"117459"
"01/12/2009";"136356"
"01/01/2010";"7703"
"01/02/2010";"16016"
"01/03/2010";"25462"
"01/04/2010";"35621"
"01/05/2010";"46036"
"01/06/2010";"59316"
"01/07/2010";"72666"
"01/08/2010";"91015"
"01/09/2010";"128013"
"01/10/2010";"140916"
"01/11/2010";"153606"
"01/12/2010";"168423"
"01/01/2011";"8272"
"01/02/2011";"17152"
"01/03/2011";"24865"
"01/04/2011";"33651"
"01/05/2011";"43339"
"01/06/2011";"55596"
"01/07/2011";"69158"
"01/08/2011";"80474"
"01/09/2011";"91603"
"01/10/2011";"103338"
"01/11/2011";"118003"
"01/12/2011";"138873"
"01/01/2012";"7041"
"01/02/2012";"15166"
"01/03/2012";"24483"
"01/04/2012";"34150"
"01/05/2012";"43807"
"01/06/2012";"53539"
"01/07/2012";"67853"
"01/08/2012";"81146"
"01/09/2012";"94558"
"01/10/2012";"108351"
"01/11/2012";"121785"
"01/12/2012";"155992"
"01/01/2013";"10102"
"01/02/2013";"21174"
"01/03/2013";"37159"
"01/04/2013";"54415"
"01/05/2013";"73041"
"01/06/2013";"88554"
"01/07/2013";"102312"
"01/08/2013";"117280"
"01/09/2013";"131560"
"01/10/2013";"146787"
"01/11/2013";"162351"
"01/12/2013";"190419"
"01/01/2014";"15721"
"01/02/2014";"28456"
"01/03/2014";"43651"
"01/04/2014";"58828"
"01/05/2014";"68773"
"01/06/2014";"84056"
"01/07/2014";"97394"
"01/08/2014";"112971"
"01/09/2014";"129648"
"01/10/2014";"146563"
"01/11/2014";"162253"
"01/12/2014";"187837"
"01/01/2015";"9779"
"01/02/2015";"18912"
"01/03/2015";"33252"
"01/04/2015";"43523"
"01/05/2015";"54793"
"01/06/2015";"68770"
"01/07/2015";"77059"
"01/08/2015";"85026"
"01/09/2015";"94440"
"01/10/2015";"105529"
"01/11/2015";"116815"
"01/12/2015";"135942"
"01/01/2016";"5902"
"01/02/2016";"11893"
"01/03/2016";"18055"
"01/04/2016";"25123"
"01/05/2016";"31856"
"01/06/2016";"40125"
"01/07/2016";"48591"
"01/08/2016";"55480"
"01/09/2016";"62196"
"01/10/2016";"68961"
"01/11/2016";"76469"
"01/12/2016";"88257"
"01/01/2017";"4719"
"01/02/2017";"10015"
"01/03/2017";"15065"
"01/04/2017";"21378"
"01/05/2017";"27718"
"01/06/2017";"33515"
"01/07/2017";"40224"
"01/08/2017";"44946"
"01/09/2017";"49969"
"01/10/2017";"55172"
"01/11/2017";"61045"
"01/12/2017";"70751"
"01/01/2018";"3855"
"01/02/2018";"6811"
"01/03/2018";"11153"
"01/04/2018";"15226"
"01/05/2018";"22228"
"01/06/2018";"27756"
"01/07/2018";"33021"
"01/08/2018";"38811"
"01/09/2018";"43568"
"01/10/2018";"49050"
"01/11/2018";"55517"
"01/12/2018";"69303"
