"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Aquisição, Processamento e Estudo de Dados";"<p>As atividades de aquisição, processamento e estudo de dados não exclusivos (adquiridos por Empresas de Aquisição de Dados - EADs) e de fomento (adquiridos por universidades, instituições de pesquisa ou empresas contratadas pela ANP) somente podem ser realizadas mediante autorização prévia da ANP, conforme a Resolução ANP nº 757/2018. Já o que for relacionado a dados exclusivos (adquiridos pelas concessionárias / operadoras) está dispensado de autorização.</p>
<p>Atualmente, as autorizações outorgadas pela ANP têm vigência de cinco anos, não prorrogáveis, contados a partir da data de sua publicação no Diário Oficial da União. Anteriormente à Resolução ANP nº 757/2018 não havia prazo fixo ou restrição a prorrogações. Caso fosse consentida a prorrogação de uma autorização vigente, era publicado no Diário Oficial da União um ato denominado &quot;despacho&quot;, também aplicável em casos específicos como alteração dos limites da área objeto da autorização ou inclusão de novos tipos de tecnologia de aquisição, por exemplo.</p>
<p>O histórico de autorizações e despachos lista cada ato publicado desde 2004. Para as autorizações consta a empresa que recebeu a autorização, o tipo de tecnologia usada e a área alvo da aquisição. No caso dos despachos, consta o objetivo do despacho e a autorização relacionada.</p>
<p>Os dados brutos gerados em decorrência das aquisições, os dados processados e os dados e informações resultantes dos estudos devem ser entregues à ANP. Os dados técnicos recebidos pela Agência são submetidos a avaliação de conformidade segundo os padrões técnicos vigentes. Para cada dado avaliado, é emitido um Laudo de Avaliação dos Dados (LAD), que indica se o dado é conforme (aprovado) ou não conforme (reprovado).</p>
<p>O desempenho mensal das operadoras e EADs no tocante às avaliações de conformidade dos dados tem sido divulgado mensalmente no site da ANP. No momento, essa divulgação está limitada às avaliações de dados sísmicos e dados não sísmicos.</p>
";"Aquisição,Autorizações,Desempenho,Despachos,EADs,Estudo de Dados,Histórico,Mensal,Operadoras,Processamento";"71";"0";"4";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Acervo de Dados Técnicos";"<p>O acervo de dados técnicos da ANP, armazenados no BDEP (Banco de Dados de Exploração e Produção), inclui dados de poços, dados sísmicos, dados não sísmicos, levantamentos geoquímicos, estudos de interpretação de dados, além dos respectivos relatórios e arquivos complementares. Informações sobre os dados técnicos cadastrados no acervo podem ser obtidas por meio das tabelas que se seguem, conforme o tipo de dado. Essas informações também são disponibilizadas pelo sistema de mapas GeoANP. Os dados técnicos tornam-se públicos após o final do período de sigilo (confidencialidade), durante o qual têm restrições de acesso. Esse período varia de dois a dez anos, dependendo do tipo de dado. Desde 2019, têm sido publicadas no site da ANP as relações dos dados de poços e sísmicos que se tornaram públicos em cada ano. Por fim, deve ser ressaltado que nesta página apenas informações sobre os dados técnicos são disponibilizadas, não os dados em si. As instruções para acesso aos dados técnicos públicos podem ser obtidas aqui.</p>
";"Acervo,Dados Técnicos,Geoquímicos,Levantamentos Sísmicos Públicos,Levantamentos Sísmicos Públicos 2019 - 2020,Poços Perfurados Públicos,Tabela de Dados Não Sísmicos,Tabela de Dados de Geoquímica,Tabela de Estudos,Tabela de Levantamentos Geoquímicos,Tabela de Poços";"22";"0";"9";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Capacidade de Armazenagem de Terminais";"<p>Os terminais são instalações voltadas à logística de movimentação e armazenamento dos produtos líquidos regulados pela ANP: petróleo, seus derivados e biocombustíveis. Essas instalações compõem a infraestrutura nacional de transporte e transferência desses produtos e são compostas por tanques, bombas, linhas e todos os equipamentos necessários para carga e descarga, visando principalmente a alteração de modo de transporte ou alteração do tamanho do lote de produto. Seu objetivo, na maioria dos casos, é prestar o serviço de movimentação e armazenagem para outras empresas que compõem a indústria do petróleo e dos biocombustíveis.</p>
<p>A operação e a construção de terminais para movimentação de petróleo, seus derivados, gás natural, inclusive liquefeito (GNL), biocombustíveis e demais produtos regulados pela ANP, ocorrem mediante autorização da ANP, conforme a Resolução ANP nº 52, de 2 de dezembro de 2015.</p>
<p>Veja abaixo a relação de terminais de autorizados a operação pela ANP (exceto terminais de GNL), e sua respectiva capacidade de armazenamento. Os dados incluem o número de tanques, o tipo (se fluvial, lacustre, marítimo ou terrestre), a empresa que opera, o estado e o município do terminal, bem como divide a capacidade de armazenamento pelo grupo de produtos (se petróleo, GLP, ou derivados e biocombustíveis) (arquivos em formato .xlsx e .csv).</p>
";"capacidade,combustíveis líquidos,petróleo,terminais";"2";"0";"11";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Produção de Petróleo e Gás Natural por Poço";"<p>Os dados da produção mensal de petróleo e gás natural por poço têm sido publicados no site da ANP desde 2010, quando os primeiros dados foram divulgados junto com o histórico do quinquênio anterior (2005-2009).Além dos volumes de produção de petróleo (em bbl/dia) e gás natural (em Mm³/dia) em cada poço, também constam informações sobre localização (campo, bacia, estado), titularidade (operador, nº contrato), período de referência (mês e ano), grau API, fração de destilados, percentuais de hidrocarbonetos, dentre outras. Mensalmente são publicados três arquivos, com as listagens dos poços conforme a localização: terra, mar, pré-sal (neste último caso se trata dum subconjunto dos dados de produção em mar, contendo apenas os poços no polígono do pré-sal).Os dados não são divulgados no mês imediatamente posterior ao da produção mas no mês subsequente ao posterior. Ou seja, há um lapso de dois meses. Eis os passos para a liberação dos dados:Na primeira quinzena do mês posterior ao da produção, as operadoras enviam à ANP os BMPs (Boletins Mensais de Produção) de seus poços. Na segunda quinzena do mesmo mês, os dados dos BMPs recebidos são conferidos e validados pela ANP.
Finalmente, no mês subsequente os dados de produção são publicados. Exemplo: os dados da produção por poço no mês de janeiro só são divulgados em março, após serem recebidos, conferidos e validados pela ANP em fevereiro.</p>
";"Gás Natural,Mar,Petróleo,Polígono do Pré - Sal,Poço,Produção,Pré- Sal,Terra";"41";"0";"59";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Série Histórica de Preços de Combustíveis";"<p>Em cumprimento às determinações da Lei do Petróleo (Lei nº 9478/1997, artigo 8º), a ANP acompanha os preços praticados por revendedores de combustíveis automotivos e de gás liquefeito de petróleo envasilhado em botijões de 13 quilos (GLP P13), por meio de uma pesquisa semanal de preços realizada por empresa contratada.</p>
<p>Veja abaixo os resultados das pesquisas que compõem a Série Histórica de Preços de Combustíveis (arquivos em formato .csv).</p>
";"biocombustíveis,comercialização,preços";"114";"0";"4747";"14"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Autorizações de gás natural";"<p>As autorizações para Instalações de Transporte e/ou Movimentação de gás natural na ANP são regidas pelas seguintes regulamentações:</p>
<ul>
<li>
<p>Portaria Nº 118 de 11 de julho de 2000 para as atividades de distribuição de gás natural liquefeito (GNL) a granel e de construção, ampliação e operação das centrais de distribuição de GNL;</p>
</li>
<li>
<p>Resolução ANP 41 de 05 de dezembro de 2007 para a atividade de Distribuição de Gás Natural Comprimido (GNC) a Granel, a realização de Projeto para Uso Próprio e de Projeto Estruturante;</p>
</li>
<li>
<p>Resolução ANP 52 de 02 de dezembro de 2015 para a construção, a ampliação e a operação de instalações de movimentação de produtos regulados pela ANP, onde está incluso o gás natural, inclusive liquefeito (GNL). A RANP 52/2015 abrange além de dutos e terminais, os sistemas indispensáveis à sua operação, tais como: estações de bombeamento, tanques de armazenagem, estações de compressão, pontos de entrega ou de recebimento de gás natural, estações de medição para fins operacionais ou de transferência de custódia, dentre outros.</p>
</li>
</ul>
<p>Veja abaixo a versão mais recente da listagem de Autorizações para Instalações de Transporte e/ou Movimentação de Gás Natural (arquivos em formato .xlsx e .csv).</p>
";"GLP,autorizações,construção,gás natural,instalações,operação";"2";"0";"13";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Dados Consolidados de Movimentação de Gás Natural em Gasodutos de Transporte";"<p>O conjunto dos dados abertos de
movimentação de gás natural em
gasodutos de transporte enviados pelos
Transportadores, com previsão de
publicação e disseminação na Web
estabelecida no § 2º, Art. 1º, da
Resolução ANP nº 40, de 09/09/2016.</p>
";"Gasodutos,Gás Natural,Movimentação,Transporte";"22";"0";"11";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Dados Georreferenciados das Bacias Sedimentares Brasileiras";"<p>O GeoANP  é uma ferramenta interativa que reúne informações do segmento de exploração e produção, exibidos num mapa interativo de dados georreferenciados (geoespaciais).</p>
<p>Estão disponíveis informações relacionadas aos dados técnicos e levantamentos das bacias sedimentares brasileiras, como por exemplo poços perfurados, dados sísmicos e blocos licitados nas rodadas. É possível a exportação dessas informações por meio de arquivos shapefile.</p>
<p>O shapefile é um formato aberto de arquivo contendo dados geoespaciais em forma vetorial, representando pontos, linhas e polígonos; usado por Sistemas de Informações Geográficas (SIG).</p>
<p>Alguns dos shapefiles obtidos no GeoANP também são disponibilizados diretamente no site da ANP, para agilizar o acesso pelos entes externos. Esses shapefiles podem ser baixados nos links a seguir.</p>
";"Blocos,Blocos Exploratórios Sob Concessão,Blocos da Rodada 17,Campos,Campos de Produção,Concessão,Geoquímicos,Levantamento,Levantamentos Geoquímicos,Levantamentos Não Sísmicos,Não Sísmicos,Produção,Rodada 17,Shapefile";"10";"0";"5";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Tancagem do Abastecimento Nacional de Combustíveis";"<p>A ANP propicia uma nova forma interativa de visualização de informações (a partir da ferramenta Power BI) no Painel Dinâmico sobre capacidade de tancagem (armazenamento) dos agentes regulados. São dados concretos, seguros e atualizados; capazes de subsidiar os tomadores de decisão em suas deliberações.</p>
";"GLP,Instalação,Tancagem,Tanque,armazenamento,combustíveis,derivados de petróleo,grupo de produtos,instalação,localização,petróleo,segmento,tancagem,tanque";"7";"0";"55";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Dados Cadastrais dos Revendedores Varejistas de Combustíveis Automotivos";"<p>Considerando que compete à ANP regular as atividades relativas ao abastecimento nacional de combustíveis, definido na Lei nº 9.847/1999, de 26 de outubro de 1999. A SDL (Superintendência de Distribuição e Logística) disponibiliza os metadados referentes aos revendedores varejistas de combustíveis automotivos que estão em operação.</p>
";"Dados Cadastrais,Postos de Combustíveis,Revenda Varejista,Revendedores";"2";"0";"45";"0"
